[2019-01-12 17:49:41] STARMADE SERVER VERSION: 0.201.346; Build(20190112_202924)
[2019-01-12 17:49:41] STARMADE SERVER STARTED: Sat Jan 12 17:49:41 EST 2019
[2019-01-12 18:07:46] [SERVERSOCKET] Incoming connection: 40372, /127.0.0.1 -> 4242, /127.0.0.1
[2019-01-12 18:07:46] [ADMINCOMMAND] #REMOTE##unknownName# (/127.0.0.1:40372) used: 'STATUS' with args []
[2019-01-12 18:07:46] [DISCONNECT] Client 'null' IP(/127.0.0.1:40372) HAS BEEN DISCONNECTED . PROBE: true; ProcessorID: 0
[2019-01-12 18:07:46] [SERVERSOCKET] Incoming connection: 40374, /127.0.0.1 -> 4242, /127.0.0.1
[2019-01-12 18:07:46] [ADMINCOMMAND] #REMOTE##unknownName# (/127.0.0.1:40374) used: 'STATUS' with args []
[2019-01-12 18:07:46] [DISCONNECT] Client 'null' IP(/127.0.0.1:40374) HAS BEEN DISCONNECTED . PROBE: true; ProcessorID: 1
[2019-01-12 18:07:46] [SERVERSOCKET] Incoming connection: 40376, /127.0.0.1 -> 4242, /127.0.0.1
[2019-01-12 18:07:46] [ADMINCOMMAND] #REMOTE##unknownName# (/127.0.0.1:40376) used: 'PLAYER_LIST' with args []
[2019-01-12 18:07:46] [DISCONNECT] Client 'null' IP(/127.0.0.1:40376) HAS BEEN DISCONNECTED . PROBE: true; ProcessorID: 2
[2019-01-12 20:15:10] [SERVERSOCKET] Incoming connection: 40402, /127.0.0.1 -> 4242, /127.0.0.1
[2019-01-12 20:15:10] [ADMINCOMMAND] #REMOTE##unknownName# (/127.0.0.1:40402) used: 'STATUS' with args []
[2019-01-12 20:15:10] [DISCONNECT] Client 'null' IP(/127.0.0.1:40402) HAS BEEN DISCONNECTED . PROBE: true; ProcessorID: 3
[2019-01-12 20:15:10] [SERVERSOCKET] Incoming connection: 40404, /127.0.0.1 -> 4242, /127.0.0.1
[2019-01-12 20:15:10] [ADMINCOMMAND] #REMOTE##unknownName# (/127.0.0.1:40404) used: 'STATUS' with args []
[2019-01-12 20:15:10] [DISCONNECT] Client 'null' IP(/127.0.0.1:40404) HAS BEEN DISCONNECTED . PROBE: true; ProcessorID: 4
[2019-01-12 20:15:10] [SERVERSOCKET] Incoming connection: 40406, /127.0.0.1 -> 4242, /127.0.0.1
[2019-01-12 20:15:10] [ADMINCOMMAND] #REMOTE##unknownName# (/127.0.0.1:40406) used: 'PLAYER_LIST' with args []
[2019-01-12 20:15:10] [DISCONNECT] Client 'null' IP(/127.0.0.1:40406) HAS BEEN DISCONNECTED . PROBE: true; ProcessorID: 5
[2019-01-13 02:50:27] [SERVERSOCKET] Incoming connection: 50326, /77.232.147.217 -> 4242, /158.69.122.144
[2019-01-13 02:50:28] [AUTH] authenticating Zoolimar; useAuth: true; requireAuth: true
[2019-01-13 02:50:29] [AUTH] Protection status of Zoolimar is ProtectedUplinkName [username=Zoolimar, timeProtected=1547309793098] -> protected = true
[2019-01-13 02:50:29] [AUTH] PROTECTING USER zoolimar under uplink id Zoolimar
[2019-01-13 02:50:29] [LOGIN] logged in RegisteredClient: Zoolimar (1) [Zoolimar]connected: true (/77.232.147.217:50326)
[2019-01-13 02:51:24] [ADMINCOMMAND] #CONSOLE# used: 'SERVER_MESSAGE_TO' with args [info, Zoolimar,  Welcome to The QuickFire Initiative! ]
[2019-01-13 02:51:26] [ADMINCOMMAND] #CONSOLE# used: 'SERVER_MESSAGE_TO' with args [plain, Zoolimar,  [QuickBot]: Welcome to The QuickFire Initiative. ]
[2019-01-13 02:51:32] [FACTION] Relationship Offer accepted: 21474832185032705 between Rel[a=-9999999, b=-9999998, rel=NEUTRAL]; Outcasts AND Scavengers; CODEA: 21474832185032705; CODEB: 21474834332516351
[2019-01-13 03:06:51] [DISCONNECT] Client 'RegisteredClient: Zoolimar (1) [Zoolimar]connected: true' IP(/77.232.147.217:50326) HAS BEEN DISCONNECTED . PROBE: false; ProcessorID: 6
[2019-01-13 03:06:51] [LOGOUT] logging out client ID RegisteredClient: Zoolimar (1) [Zoolimar]connected: true
[2019-01-13 04:50:40] [FACTION] Relationship Offer accepted: 21474836479999999 between Rel[a=-10000000, b=-9999999, rel=NEUTRAL]; Traders AND Outcasts; CODEA: 21474836479999999; CODEB: 21474834332516353
[2019-01-13 04:50:40] [FACTION] Relationship Offer accepted: 21474836479999998 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474836479999998; CODEB: 21474832185032706
[2019-01-13 04:50:40] [FACTION] Relationship Offer accepted: 21474834332516353 between Rel[a=-10000000, b=-9999999, rel=NEUTRAL]; Traders AND Outcasts; CODEA: 21474834332516353; CODEB: 21474836479999999
[2019-01-13 04:51:34] [FACTION] Relationship Offer accepted: 21474832185032705 between Rel[a=-9999999, b=-9999998, rel=NEUTRAL]; Outcasts AND Scavengers; CODEA: 21474832185032705; CODEB: 21474834332516351
[2019-01-13 04:51:34] [FACTION] Relationship Offer accepted: 21474834332516351 between Rel[a=-9999999, b=-9999998, rel=NEUTRAL]; Outcasts AND Scavengers; CODEA: 21474834332516351; CODEB: 21474832185032705
[2019-01-13 04:51:34] [FACTION] Relationship Offer accepted: 21474832185032706 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474832185032706; CODEB: 21474836479999998
[2019-01-13 04:51:43] [FACTION] Relationship Offer accepted: 21474836479999999 between Rel[a=-10000000, b=-9999999, rel=NEUTRAL]; Traders AND Outcasts; CODEA: 21474836479999999; CODEB: 21474834332516353
[2019-01-13 04:51:43] [FACTION] Relationship Offer accepted: 21474836479999998 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474836479999998; CODEB: 21474832185032706
[2019-01-13 04:51:43] [FACTION] Relationship Offer accepted: 21474834332516353 between Rel[a=-10000000, b=-9999999, rel=NEUTRAL]; Traders AND Outcasts; CODEA: 21474834332516353; CODEB: 21474836479999999
[2019-01-13 04:51:55] [FACTION] Relationship Offer accepted: 21474832185032706 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474832185032706; CODEB: 21474836479999998
[2019-01-13 04:52:07] [FACTION] Relationship Offer accepted: 21474836479999998 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474836479999998; CODEB: 21474832185032706
[2019-01-13 04:52:16] [FACTION] Relationship Offer accepted: 21474832185032706 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474832185032706; CODEB: 21474836479999998
[2019-01-13 04:52:28] [FACTION] Relationship Offer accepted: 21474836479999998 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474836479999998; CODEB: 21474832185032706
[2019-01-13 04:52:34] [FACTION] Relationship Offer accepted: 21474832185032706 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474832185032706; CODEB: 21474836479999998
[2019-01-13 04:52:40] [FACTION] Relationship Offer accepted: 21474836479999999 between Rel[a=-10000000, b=-9999999, rel=NEUTRAL]; Traders AND Outcasts; CODEA: 21474836479999999; CODEB: 21474834332516353
[2019-01-13 04:52:40] [FACTION] Relationship Offer accepted: 21474836479999998 between Rel[a=-10000000, b=-9999998, rel=NEUTRAL]; Traders AND Scavengers; CODEA: 21474836479999998; CODEB: 21474832185032706
